Disease,Symptoms,Description,Precautions
Acne,,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.","Many different treatments exist for acne. These include alpha hydroxy acid, anti-androgen medications, antibiotics, antiseborrheic medications, azelaic acid, benzoyl peroxide, hormonal treatments, keratolytic soaps, nicotinamide (niacinamide), retinoids, and salicylic acid. Acne treatments work in at least four different ways, including the following: reducing inflammation, hormonal manipulation, killing C. acnes, and normalizing skin cell shedding and sebum production in the pore to prevent blockage. Typical treatments include topical therapies such as antibiotics, benzoyl peroxide, and retinoids, and systemic therapies, including antibiotics, hormonal agents, and oral retinoids. Recommended therapies for first-line use in acne vulgaris treatment include topical retinoids, benzoyl peroxide, and topical or oral antibiotics. Procedures such as light therapy and laser therapy are not first-line treatments and typically have only an add on role due to their high cost and limited evidence. Blue light therapy is of unclear benefit. Medications for acne target the early stages of comedo formation and are generally ineffective for visible skin lesions; acne generally improves between eight and twelve weeks after starting therapy. People often view acne as a short-term condition, some expecting it to disappear after puberty. This misconception can lead to depending on self-management or problems with long-term adherence to treatment. Communicating the long-term nature of the condition and better access to reliable information about acne can help people know what to expect from treatments."
Acromegaly,"Large hands/feet growth, rough face, joint pain","Large hands/feet growth, rough face, joint pain. Excess growth hormone in adults.","Treatment options include surgery to remove the tumor, medications, and radiation therapy. Surgery is usually the preferred treatment; the smaller the tumor, the more likely surgery will be curative. If surgery is contraindicated or not curative, somatostatin analogues or GH receptor antagonists may be used. Radiation therapy may be used if neither surgery nor medications are completely effective. Without treatment, life expectancy is reduced by 10 years; with treatment, life expectancy is not reduced."
Actinic Keratosis,"Rough, scaly patches on the skin, usually in sun-exposed areas","Actinic keratosis (AK), sometimes called solar keratosis or senile keratosis, is a pre-cancerous area of thick, scaly, or crusty skin. Actinic keratosis is a disorder (-osis) of epidermal keratinocytes that is induced by ultraviolet (UV) light exposure (actin-). These growths are more common in fair-skinned people and those who are frequently in the sun.",Consult a healthcare professional for accurate precautions.
Acute Bronchospasm,"Wheezing, shortness of breath, chest tightness","Beta blockers, also spelled β-blockers and also known as β-adrenergic receptor antagonists, are a class of medications that are predominantly used to manage abnormal heart rhythms (arrhythmia), and to protect the heart from a second heart attack after a first heart attack (secondary prevention). They are also widely used to treat high blood pressure, although they are no longer the first choice for initial treatment of most people. There are additional uses as well, like treatment of anxiety, a notable example being the situational use of propranolol to help dampen the physical symptoms of performance anxiety.",Consult a healthcare professional for accurate precautions.
Acute Glaucoma,"Severe eye pain, blurred vision, halos around lights",Glaucoma is a group of eye diseases that can lead to damage of the optic nerve. The optic nerve transmits visual information from the eye to the brain. Glaucoma may cause vision loss if left untreated.,Consult a healthcare professional for accurate precautions.
Acute Kidney Injury,"Decreased urine output, fluid retention, fatigue","Acute kidney injury (AKI), previously called acute renal failure (ARF), is a sudden decrease in kidney function that develops within seven days, as shown by an increase in serum creatinine or a decrease in urine output, or both. Causes of AKI are classified as either prerenal (due to decreased blood flow to the kidney), intrinsic renal (due to damage to the kidney itself), or postrenal (due to blockage of urine flow). Prerenal causes of AKI include sepsis, dehydration, excessive blood loss, cardiogenic shock, heart failure, cirrhosis, and certain medications like ACE inhibitors or NSAIDs.",Consult a healthcare professional for accurate precautions.
Acute Otitis Media,"Ear pain, fever, fluid drainage from the ear, hearing loss or muffled hearing in the affected ear","Otitis media is a group of inflammatory diseases of the middle ear. One of the two main types is acute otitis media (AOM), an infection of rapid onset that usually presents with ear pain. In young children, this may result in pulling at the ear, increased crying, and poor sleep.",Consult a healthcare professional for accurate precautions.
Acute Pancreatitis,"Severe upper abdominal pain, nausea, vomiting, fever, rapid pulse, swollen and tender abdomen, jaundice","Acute pancreatitis (AP) is a sudden inflammation of the pancreas. Causes include a gallstone impacted in the common bile duct or the pancreatic duct, heavy alcohol use, systemic disease, trauma, elevated calcium levels, hypertriglyceridemia (with triglycerides usually being very elevated, over 1000 mg/dL), certain medications, hereditary causes and, in children, mumps. Acute pancreatitis may be a single event, it may be recurrent, or it may progress to chronic pancreatitis and/or pancreatic failure (the term pancreatic dysfunction includes cases of acute or chronic pancreatitis where the pancreas is measurably damaged, even if it has not failed).",Consult a healthcare professional for accurate precautions.
Acute Sinusitis,"Facial pain or pressure, nasal congestion, thick nasal discharge, post-nasal drip, cough, headache, fatigue, fever (in some cases)","Sinusitis, also known as rhinosinusitis and commonly known as a sinus infection, is an inflammation of the mucous membranes that line the sinuses resulting in symptoms that may include production of thick nasal mucus, nasal congestion, facial congestion, facial pain, facial pressure, loss of smell, or fever. Sinusitis is a condition that affects both children and adults. It is caused by a combination of environmental factors and a person's health factors.",Consult a healthcare professional for accurate precautions.
Adenoid cystic carcinoma,"Lump, swelling, Facial numbness, tingling","Adenoid cystic carcinoma is a rare type of cancer that can exist in many different body sites. This tumor most often occurs in the salivary glands, but it can also be found in many anatomic sites, including the breast, lacrimal gland, lung, brain, Bartholin gland, trachea, and the paranasal sinuses. It is the third-most common malignant salivary gland tumor overall (after mucoepidermoid carcinoma and polymorphous adenocarcinoma).","Primary treatment for this cancer, regardless of body site, is surgical removal with clean margins. This surgery can prove challenging in the head and neck region due to this tumor's tendency to show a perineural discontinuous growth, meaning that it follows nerves and different ""nests"" of the tumor can exist without a connection to the original tumor. Therefore, MRI-images should be analysed following nerve tracts up to the brainstem. Adjuvant or palliative radiotherapy is commonly given following surgery. For advanced major and minor salivary gland tumors that are inoperable, recurrent, or exhibit gross residual disease after surgery, fast neutron therapy is widely regarded as the most effective form of treatment. Chemotherapy is used for metastatic disease. Chemotherapy is considered on a case-by-case basis, as data on the positive effects of chemotherapy are limited. Clinical studies are ongoing, however."
Adenomyosis,"Severe menstrual pain, heavy bleeding, enlargement of the uterus","Severe menstrual pain, heavy bleeding, enlargement of the uterus. Endometrial tissue grows into the uterine muscle.","Adenomyosis can only be cured definitively with surgical removal of the uterus. As adenomyosis is responsive to reproductive hormones, it reasonably abates following menopause when these hormones decrease. For women in their reproductive years, adenomyosis can typically be managed with the goals to provide pain relief, to restrict progression of the process, and to reduce significant menstrual bleeding."
Adrenal Cancer,"Abdominal or back pain, unexplained weight loss, hormonal imbalances","An adrenal tumor or adrenal mass is any benign or malignant neoplasms of the adrenal gland, several of which are notable for their ability to overproduce endocrine hormones. Adrenal cancer is the presence of malignant adrenal tumors, which include neuroblastoma, adrenocortical carcinoma and some adrenal pheochromocytomas. Most adrenal pheochromocytomas and all adrenocortical adenomas are benign tumors, which do not metastasize or invade nearby tissues, but may cause significant symptoms by dysregulating hormones.",Consult a healthcare professional for accurate precautions.
Alcohol Intoxication,"Slurred speech, impaired coordination, confusion","Alcohol intoxication, commonly described in higher doses as drunkenness or inebriation, and known in overdose as alcohol poisoning, is the behavior and physical effects caused by recent consumption of alcohol. The technical term intoxication in common speech may suggest that a large amount of alcohol has been consumed, leading to accompanying physical symptoms and deleterious health effects. Mild intoxication is mostly referred to by slang terms such as tipsy or buzzed.",Consult a healthcare professional for accurate precautions.
Alcohol Use Disorder,"Cravings for alcohol, inability to control or limit alcohol consumption, withdrawal symptoms (such as tremors, anxiety, sweating) when attempting to stop or reduce alcohol use, continued use despite negative consequences (such as relationship problems, health issues), neglecting responsibilities, tolerance to alcohol",Alcoholism is the continued drinking of alcohol despite it causing problems. Some definitions require evidence of dependence and withdrawal. Problematic alcohol use has been mentioned in the earliest historical records.,"The World Health Organization, the European Union and other regional bodies, national governments and parliaments have formed alcohol policies in order to reduce the harm of alcoholism. Increasing the age at which alcohol can be purchased, and banning or restricting alcohol beverage advertising are common methods to reduce alcohol use among adolescents and young adults in particular, see Alcoholism in adolescence. Another common method of alcoholism prevention is taxation of alcohol products – increasing price of alcohol by 10% is linked with reduction of consumption of up to 10%. Credible, evidence-based educational campaigns in the mass media about the consequences of alcohol misuse have been recommended. Guidelines for parents to prevent alcohol misuse amongst adolescents, and for helping young people with mental health problems have also been suggested. Because alcohol is often used for self-medication of conditions like anxiety temporarily, prevention of alcoholism may be attempted by reducing the severity or prevalence of stress and anxiety in individuals. Treatments are varied because there are multiple perspectives of alcoholism. Those who approach alcoholism as a medical condition or disease recommend differing treatments from, for instance, those who approach the condition as one of social choice. Most treatments focus on helping people discontinue their alcohol intake, followed up with life training and/or social support to help them resist a return to alcohol use. Since alcoholism involves multiple factors which encourage a person to continue drinking, they must all be addressed to successfully prevent a relapse. An example of this kind of treatment is detoxification followed by a combination of supportive therapy, attendance at self-help groups, and ongoing development of coping mechanisms. Much of the treatment community for alcoholism supports an abstinence-based zero tolerance approach popularized by the 12 step program of Alcoholics Anonymous; however, some prefer a harm-reduction approach."
Alcoholic hepatitis,,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol",Consult a healthcare professional for accurate precautions.
Alergi Debu,"Sneezing, stuffy nose, watery eyes","Sneezing, stuffy nose, watery eyes. Immune system reaction to house dust/dirt.",Consult a healthcare professional for accurate precautions.
Alergi Makanan,"Rash, itching, swelling, vomiting","Rash, itching, swelling, vomiting. Immune reactions to certain food proteins",Consult a healthcare professional for accurate precautions.
Alergi Obat,"Rash, itching, swelling, difficulty breathing","Rash, itching, swelling, difficulty breathing. Immune reaction to certain drugs",Consult a healthcare professional for accurate precautions.
Alkaptonuria,"Black urine, joint pain, heart valve damage","Black urine, joint pain, heart valve damage. Disorders of tyrosine amino acid metabolism.","In 2012 the AKU Society formed a consortium called DevelopAKUre to prove that nitisinone, a drug already approved for treating another rare disease, hereditary tyrosinaemia type-1, could be repurposed to treat AKU. The DevelopAKUre trials concluded in 2019 and successfully illustrated that nitisinone lowered levels of homogentisic acid (HGA), the acid that causes the damage in AKU, by 99% which effectively halts the progression of the disease. In 2020, the European Medicines Agency and the European Commission approved the use of nitisinone for treating AKU making the treatment available to patients across the Europe and the UK. Nitisinone has revolutionised the treatment of AKU, however it can lead to a condition known as hypertyrosinaemia caused by elevated levels of the amino acid tyrosine. Hypertyrosinaemia can lead to serious symptoms including corneal keratopathy, dermal toxicity, neurodevelopment delay issues in children, and alterations of wider metabolism. There is currently no effective treatment for hypertyrosinaemia other than limiting protein intake. Due to the potential side-effects of nitisinone treatment it is currently only prescribed to children aged 16 and above in Europe and patients will then have to follow a protein restricted diet and closely manage their tyrosine levels through frequent monitoring."
Allergic Rhinitis,,"Allergic rhinitis, of which the seasonal type is called hay fever, is a type of inflammation in the nose that occurs when the immune system overreacts to allergens in the air. It is classified as a type I hypersensitivity reaction. Signs and symptoms include a runny or stuffy nose, sneezing, red, itchy, and watery eyes, and swelling around the eyes.",Consult a healthcare professional for accurate precautions.
Allergy,,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","Giving peanut products early in childhood may decrease the risk of allergies, and only breastfeeding during at least the first few months of life may decrease the risk of allergic dermatitis. There is little evidence that a mother's diet during pregnancy or breastfeeding affects the risk of allergies, although there has been some research to show that irregular cow's milk exposure might increase the risk of cow's milk allergy. There is some evidence that delayed introduction of certain foods is useful, and that early exposure to potential allergens may actually be protective. According to recent studies from pediatric professionals in the U.K. and North Carolina, they suggest that early exposure to peanut products has greatly reduced peanut allergies among young children in the U.S. Following milestone research from a decade ago, the studies found that pediatric guidelines from 2015 and 2017 were revised to encourage introducing peanuts to high risk infants from the early ages of 4 to 6 months. Researchers who looked into the collected data found a 43% drop in the frequent occurrence of peanut allergies. Which prevented an estimated 40,000 cases and resulted in a noticeable decline in overall food allergy cases. While this is notable, some pediatric experts want to ensure that caution is still provided to the public about the real-world implementation of guidelines since there are potential inconsistencies and limitations. These findings focus on the benefits and risks of early allergen introductions to hopefully slow the rise of food allergies. Fish oil supplementation during pregnancy is associated with a lower risk of food sensitivities. Probiotic supplements during pregnancy or infancy may help to prevent atopic dermatitis. Management of allergies typically involves avoiding the allergy trigger and taking medications to improve the symptoms. Allergen immunotherapy may be useful for some types of allergies."
Alopecia,"Hair loss or balding, patchy or generalized hair loss","Hair loss, also known as alopecia or baldness, refers to a loss of hair from part of the head or body. Typically at least the head is involved. The severity of hair loss can vary from a small area to the entire body.",Consult a healthcare professional for accurate precautions.
Alzheimer,"Progressive dementia, confusion, loss of orientation","Progressive dementia, confusion, loss of orientation. Brain degeneration due to old age.","There are no disease-modifying treatments available to cure Alzheimer's disease and because of this, AD research has focused on interventions to prevent the onset and progression. There is no evidence that supports any particular measure in preventing AD, and studies of measures to prevent the onset or progression have produced inconsistent results. Epidemiological studies have proposed relationships between an individual's likelihood of developing AD and modifiable factors, such as medications, lifestyle, and diet. There are some challenges in determining whether interventions for AD act as a primary prevention method, preventing the disease itself, or a secondary prevention method, identifying the early stages of the disease. These challenges include duration of intervention, different stages of disease at which intervention begins, and lack of standardization of inclusion criteria regarding biomarkers specific for AD. Further research is needed to determine factors that can help prevent AD. There is no cure for AD; available treatments offer relatively small symptomatic benefits but remain palliative in nature. Treatments can be divided into pharmaceutical, psychosocial, and caregiving."
Alzheimer's Disease,,"Alzheimer's disease (AD) is a neurodegenerative disease and is the most common form of dementia, accounting for around 60–70% of cases. The most common early symptom is difficulty in remembering recent events. As the disease advances, symptoms can include problems with language, disorientation (including easily getting lost), mood swings, loss of motivation, self-neglect, and behavioral issues.","There are no disease-modifying treatments available to cure Alzheimer's disease and because of this, AD research has focused on interventions to prevent the onset and progression. There is no evidence that supports any particular measure in preventing AD, and studies of measures to prevent the onset or progression have produced inconsistent results. Epidemiological studies have proposed relationships between an individual's likelihood of developing AD and modifiable factors, such as medications, lifestyle, and diet. There are some challenges in determining whether interventions for AD act as a primary prevention method, preventing the disease itself, or a secondary prevention method, identifying the early stages of the disease. These challenges include duration of intervention, different stages of disease at which intervention begins, and lack of standardization of inclusion criteria regarding biomarkers specific for AD. Further research is needed to determine factors that can help prevent AD. There is no cure for AD; available treatments offer relatively small symptomatic benefits but remain palliative in nature. Treatments can be divided into pharmaceutical, psychosocial, and caregiving."
Amandel,"Sore, swollen throat, difficulty swallowing","Sore, swollen throat, difficulty swallowing. Inflammation of the tonsils due to viral/bacterial infections.",Consult a healthcare professional for accurate precautions.
Ambeien Eksternal,"Painful lump around the anus, bleeding during bowel movements","Painful lump around the anus, bleeding during bowel movements. Swollen blood vessels around the anus.",Consult a healthcare professional for accurate precautions.
Amebiasis,"Bloody diarrhea, stomach cramps, fever, nausea","Bloody diarrhea, stomach cramps, fever, nausea. Entamoeba histolytica parasite infection of the large intestine.","To help prevent the spread of amoebiasis around the home : Wash hands thoroughly with soap and hot running water for at least 10 seconds after using the toilet or changing a baby's diaper, and before handling food. Clean bathrooms and toilets often; pay particular attention to toilet seats and taps. Avoid sharing towels or face washers. To help prevent infection: Avoid raw vegetables when in endemic areas, as they may have been fertilized using human feces. Boil water or treat with iodine tablets. Avoid eating street foods especially in public places where others are sharing sauces in one container Good sanitary practice, as well as responsible sewage disposal or treatment, are necessary for the prevention of E. histolytica infection on an endemic level. E.histolytica cysts are usually resistant to chlorination, therefore sedimentation and filtration of water supplies are necessary to reduce the incidence of infection. E. histolytica cysts may be recovered from contaminated food by methods similar to those used for recovering Giardia lamblia cysts from feces. Filtration is probably the most practical method for recovery from drinking water and liquid foods. E. histolytica cysts must be distinguished from cysts of other parasitic (but nonpathogenic) protozoa and from cysts of free-living protozoa as discussed above. Recovery procedures are not very accurate; cysts are easily lost or damaged beyond recognition, which leads to many falsely negative results in recovery tests. E. histolytica infections occur in both the intestine and (in people with symptoms) in tissue of the intestine and/or liver. Those with symptoms require treatment with two medications, an amoebicidal tissue-active agent and a luminal cysticidal agent. Individuals that are asymptomatic only need a luminal cysticidal agent."
Amiloidosis,"Fatigue, swelling of the legs, difficulty breathing","Fatigue, swelling of the legs, difficulty breathing. Penumpukan protein amiloid di organ tubuh",Consult a healthcare professional for accurate precautions.
Amyloidosis,"Fatigue, weight loss, organ dysfunction","Amyloidosis is a group of diseases in which abnormal proteins, known as amyloid fibrils, build up in tissue. There are several non-specific and vague signs and symptoms associated with amyloidosis. These include fatigue, peripheral edema, weight loss, shortness of breath, palpitations, and feeling faint with standing.","Treatment depends on the type of amyloidosis that is present. Treatment with high dose melphalan, a chemotherapy agent, followed by stem cell transplantation has shown promise in early studies and is recommended for stage I and II AL amyloidosis. However, only 20–25% of people are eligible for stem cell transplant. Chemotherapy treatment including cyclophosphamide-bortezomib-dexamethasone-daratumumab (Dara-Cybord) is currently the recommended treatment option for people with AL Amyloidosis not eligible for transplant. In AA, symptoms may improve if the underlying condition is treated. In people who have inflammation caused by AA amyloidosis, tumour necrosis factor (TNF)-alpha inhibitors such as infliximab and etanercept are used for an average duration of 20 months. If TNF-alpha inhibitors are not effective, Interleukin-1 inhibitors (e.g., anakinra, canakinumab, rilonacept) and interleukin-6 inhibitors (e.g., tocilizumab) may be considered. Management of ATTR amyloidosis will depend on its classification as wild type or variant. Both may be treated with tafamidis, a low toxicity oral agent that prevents destabilization of correctly folded protein. Studies showed tafamidis reduced mortality and hospitalization due to heart failure. Previously, for variant ATTR amyloidosis, liver transplant was the only effective treatment. New therapies include diflunisal, inotersen, and patisiran. Diflunisal binds to misfolded mutant TTR protein to prevent its buildup, like how tafamidis works. Low-certainty evidence indicates that it mitigates worsening of peripheral neuropathy and disability from disease progression. Inotersen blocks gene expression of both wild-type and mutant TTR, reducing amyloid precursor. Moderate-certainty evidence suggests that it mitigates worsening of peripheral neuropathy. Long-term efficacy and safety of inotersen use in people with mutant TTR-related amyloidosis is still be evaluated in a phase-III clinical trial as of 2021. Both diflunisal and inotersen may also mitigate declines in quality-of-life, though the evidence for this effect is unclear. For people with cardiac ATTR the effect of inotersen use is inconclusive and requires further investigation. In 2018, inotersen was approved by the European Medicines Agency to treat polyneuropathy in adults with hereditary transthyretin amyloidosis. It has since been approved for use in Canada, the European Union and in the USA. Patisiran functions similarly to inotersen. Moderate-certainty evidence suggests that patisiran mitigates worsening of peripheral neuropathy and disability from disease progression. Additionally, low-certainty evidence suggests that patisiran mitigates decreases in quality-of-life and slightly reduces the rate of adverse events versus placebo. There is no evidence of an effect on mortality rate. A review of early data from use of patisiran in people with variant cardiac ATTR suggests that it may reduce mortality and hospitalization, however this is still being investigated and requires further investigation. In 2018, patisiran was not recommended by NICE in the UK for hereditary transthyretin-related amyloidosis. As of July 2019 further review however is occurring. It was approved for this use in the United States, however. The roles of inotersen and patisiran in cardiac ATTR amyloidosis are still being investigated. In 2021, in a clinical trial using the CRISPR gene-editing technique, several participants had an ""80% to 96% drop in TTR levels, on par or better than the average of 81%"" who were given patisiran. Vutrisiran was approved by the U.S. Food and Drug Administration (FDA) in June 2022, for the treatment of the polyneuropathy of hereditary transthyretin-mediated (hATTR) amyloidosis in adults."
Amyotrophic Lateral Sclerosis (ALS),"Progressive muscle weakness, difficulty swallowing and speaking","Progressive muscle weakness, difficulty swallowing and speaking. Degeneration of motor nerve cells in the brain and spinal cord.","There is no cure for ALS. Management focuses on treating symptoms and providing supportive care to improve quality of life and prolong survival. This care is best provided by multidisciplinary teams of healthcare professionals; attending a multidisciplinary ALS clinic is associated with longer survival, fewer hospitalizations, and improved quality of life. Non-invasive ventilation (NIV) is the main treatment for respiratory failure in ALS. In people with normal bulbar function, it prolongs survival by about seven months and improves the quality of life. One study found that NIV is ineffective for people with poor bulbar function while another suggested that it may provide a modest survival benefit. Many people with ALS have difficulty tolerating NIV. Invasive ventilation is an option for people with advanced ALS when NIV is not enough to manage their symptoms. While invasive ventilation prolongs survival, disease progression, and functional decline continue. It may decrease the quality of life of people with ALS or their caregivers. Invasive ventilation is more commonly used in Japan than in North America or Europe. Physical therapy can promote functional independence through aerobic, range of motion, and stretching exercises. Occupational therapy can assist with activities of daily living through adaptive equipment. Speech therapy can assist people with ALS who have difficulty speaking. Preventing weight loss and malnutrition in people with ALS improves both survival and quality of life. Initially, difficulty swallowing (dysphagia) can be managed by dietary changes and swallowing techniques. A feeding tube should be considered if someone with ALS loses 5% or more of their body weight or if they cannot safely swallow food and water. The feeding tube is usually inserted by percutaneous endoscopic gastrostomy (PEG). There is weak evidence that PEG tubes improve survival. PEG insertion is usually performed with the intent of improving quality of life. Palliative care should begin shortly after someone is diagnosed with ALS. Discussion of end-of-life issues gives people with ALS time to reflect on their preferences for end-of-life care and can help avoid unwanted interventions or procedures. Hospice care can improve symptom management at the end of life and increase the likelihood of a peaceful death. In the final days of life, opioids can be used to treat pain and dyspnea, while benzodiazepines can be used to treat anxiety."
