Disease,Symptoms,Description,Precautions,symptom_list,combined
Acne,,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.","Many different treatments exist for acne. These include alpha hydroxy acid, anti-androgen medications, antibiotics, antiseborrheic medications, azelaic acid, benzoyl peroxide, hormonal treatments, keratolytic soaps, nicotinamide (niacinamide), retinoids, and salicylic acid. Acne treatments work in at least four different ways, including the following: reducing inflammation, hormonal manipulation, killing C. acnes, and normalizing skin cell shedding and sebum production in the pore to prevent blockage. Typical treatments include topical therapies such as antibiotics, benzoyl peroxide, and retinoids, and systemic therapies, including antibiotics, hormonal agents, and oral retinoids. Recommended therapies for first-line use in acne vulgaris treatment include topical retinoids, benzoyl peroxide, and topical or oral antibiotics. Procedures such as light therapy and laser therapy are not first-line treatments and typically have only an add on role due to their high cost and limited evidence. Blue light therapy is of unclear benefit. Medications for acne target the early stages of comedo formation and are generally ineffective for visible skin lesions; acne generally improves between eight and twelve weeks after starting therapy. People often view acne as a short-term condition, some expecting it to disappear after puberty. This misconception can lead to depending on self-management or problems with long-term adherence to treatment. Communicating the long-term nature of the condition and better access to reliable information about acne can help people know what to expect from treatments.",[],"acne acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). acne develops on the face and upper trunk. it most often affects adolescents. many different treatments exist for acne. these include alpha hydroxy acid, anti-androgen medications, antibiotics, antiseborrheic medications, azelaic acid, benzoyl peroxide, hormonal treatments, keratolytic soaps, nicotinamide (niacinamide), retinoids, and salicylic acid. acne treatments work in at least four different ways, including the following reducing inflammation, hormonal manipulation, killing c. acnes, and normalizing skin cell shedding and sebum production in the pore to prevent blockage. typical treatments include topical therapies such as antibiotics, benzoyl peroxide, and retinoids, and systemic therapies, including antibiotics, hormonal agents, and oral retinoids. recommended therapies for first-line use in acne vulgaris treatment include topical retinoids, benzoyl peroxide, and topical or oral antibiotics. procedures such as light therapy and laser therapy are not first-line treatments and typically have only an add on role due to their high cost and limited evidence. blue light therapy is of unclear benefit. medications for acne target the early stages of comedo formation and are generally ineffective for visible skin lesions acne generally improves between eight and twelve weeks after starting therapy. people often view acne as a short-term condition, some expecting it to disappear after puberty. this misconception can lead to depending on self-management or problems with long-term adherence to treatment. communicating the long-term nature of the condition and better access to reliable information about acne can help people know what to expect from treatments."
Acromegaly,"Large hands/feet growth, rough face, joint pain","Large hands/feet growth, rough face, joint pain. Excess growth hormone in adults.","Treatment options include surgery to remove the tumor, medications, and radiation therapy. Surgery is usually the preferred treatment; the smaller the tumor, the more likely surgery will be curative. If surgery is contraindicated or not curative, somatostatin analogues or GH receptor antagonists may be used. Radiation therapy may be used if neither surgery nor medications are completely effective. Without treatment, life expectancy is reduced by 10 years; with treatment, life expectancy is not reduced.","['large hands/feet growth', 'rough face', 'joint pain']","acromegaly large hands/feet growth, rough face, joint pain large hands/feet growth, rough face, joint pain. excess growth hormone in adults. treatment options include surgery to remove the tumor, medications, and radiation therapy. surgery is usually the preferred treatment the smaller the tumor, the more likely surgery will be curative. if surgery is contraindicated or not curative, somatostatin analogues or gh receptor antagonists may be used. radiation therapy may be used if neither surgery nor medications are completely effective. without treatment, life expectancy is reduced by 10 years with treatment, life expectancy is not reduced."
Actinic Keratosis,"Rough, scaly patches on the skin, usually in sun-exposed areas","Actinic keratosis (AK), sometimes called solar keratosis or senile keratosis, is a pre-cancerous area of thick, scaly, or crusty skin. Actinic keratosis is a disorder (-osis) of epidermal keratinocytes that is induced by ultraviolet (UV) light exposure (actin-). These growths are more common in fair-skinned people and those who are frequently in the sun.",Consult a healthcare professional for accurate precautions.,"['rough', 'scaly patches on the skin', 'usually in sun-exposed areas']","actinic keratosis rough, scaly patches on the skin, usually in sun-exposed areas actinic keratosis (ak), sometimes called solar keratosis or senile keratosis, is a pre-cancerous area of thick, scaly, or crusty skin. actinic keratosis is a disorder (-osis) of epidermal keratinocytes that is induced by ultraviolet (uv) light exposure (actin-). these growths are more common in fair-skinned people and those who are frequently in the sun. consult a healthcare professional for accurate precautions."
Acute Bronchospasm,"Wheezing, shortness of breath, chest tightness","Beta blockers, also spelled β-blockers and also known as β-adrenergic receptor antagonists, are a class of medications that are predominantly used to manage abnormal heart rhythms (arrhythmia), and to protect the heart from a second heart attack after a first heart attack (secondary prevention). They are also widely used to treat high blood pressure, although they are no longer the first choice for initial treatment of most people. There are additional uses as well, like treatment of anxiety, a notable example being the situational use of propranolol to help dampen the physical symptoms of performance anxiety.",Consult a healthcare professional for accurate precautions.,"['wheezing', 'shortness of breath', 'chest tightness']","acute bronchospasm wheezing, shortness of breath, chest tightness beta blockers, also spelled -blockers and also known as -adrenergic receptor antagonists, are a class of medications that are predominantly used to manage abnormal heart rhythms (arrhythmia), and to protect the heart from a second heart attack after a first heart attack (secondary prevention). they are also widely used to treat high blood pressure, although they are no longer the first choice for initial treatment of most people. there are additional uses as well, like treatment of anxiety, a notable example being the situational use of propranolol to help dampen the physical symptoms of performance anxiety. consult a healthcare professional for accurate precautions."
Acute Glaucoma,"Severe eye pain, blurred vision, halos around lights",Glaucoma is a group of eye diseases that can lead to damage of the optic nerve. The optic nerve transmits visual information from the eye to the brain. Glaucoma may cause vision loss if left untreated.,Consult a healthcare professional for accurate precautions.,"['severe eye pain', 'blurred vision', 'halos around lights']","acute glaucoma severe eye pain, blurred vision, halos around lights glaucoma is a group of eye diseases that can lead to damage of the optic nerve. the optic nerve transmits visual information from the eye to the brain. glaucoma may cause vision loss if left untreated. consult a healthcare professional for accurate precautions."
Acute Kidney Injury,"Decreased urine output, fluid retention, fatigue","Acute kidney injury (AKI), previously called acute renal failure (ARF), is a sudden decrease in kidney function that develops within seven days, as shown by an increase in serum creatinine or a decrease in urine output, or both. Causes of AKI are classified as either prerenal (due to decreased blood flow to the kidney), intrinsic renal (due to damage to the kidney itself), or postrenal (due to blockage of urine flow). Prerenal causes of AKI include sepsis, dehydration, excessive blood loss, cardiogenic shock, heart failure, cirrhosis, and certain medications like ACE inhibitors or NSAIDs.",Consult a healthcare professional for accurate precautions.,"['decreased urine output', 'fluid retention', 'fatigue']","acute kidney injury decreased urine output, fluid retention, fatigue acute kidney injury (aki), previously called acute renal failure (arf), is a sudden decrease in kidney function that develops within seven days, as shown by an increase in serum creatinine or a decrease in urine output, or both. causes of aki are classified as either prerenal (due to decreased blood flow to the kidney), intrinsic renal (due to damage to the kidney itself), or postrenal (due to blockage of urine flow). prerenal causes of aki include sepsis, dehydration, excessive blood loss, cardiogenic shock, heart failure, cirrhosis, and certain medications like ace inhibitors or nsaids. consult a healthcare professional for accurate precautions."
Acute Otitis Media,"Ear pain, fever, fluid drainage from the ear, hearing loss or muffled hearing in the affected ear","Otitis media is a group of inflammatory diseases of the middle ear. One of the two main types is acute otitis media (AOM), an infection of rapid onset that usually presents with ear pain. In young children, this may result in pulling at the ear, increased crying, and poor sleep.",Consult a healthcare professional for accurate precautions.,"['ear pain', 'fever', 'fluid drainage from the ear', 'hearing loss or muffled hearing in the affected ear']","acute otitis media ear pain, fever, fluid drainage from the ear, hearing loss or muffled hearing in the affected ear otitis media is a group of inflammatory diseases of the middle ear. one of the two main types is acute otitis media (aom), an infection of rapid onset that usually presents with ear pain. in young children, this may result in pulling at the ear, increased crying, and poor sleep. consult a healthcare professional for accurate precautions."
Acute Pancreatitis,"Severe upper abdominal pain, nausea, vomiting, fever, rapid pulse, swollen and tender abdomen, jaundice","Acute pancreatitis (AP) is a sudden inflammation of the pancreas. Causes include a gallstone impacted in the common bile duct or the pancreatic duct, heavy alcohol use, systemic disease, trauma, elevated calcium levels, hypertriglyceridemia (with triglycerides usually being very elevated, over 1000 mg/dL), certain medications, hereditary causes and, in children, mumps. Acute pancreatitis may be a single event, it may be recurrent, or it may progress to chronic pancreatitis and/or pancreatic failure (the term pancreatic dysfunction includes cases of acute or chronic pancreatitis where the pancreas is measurably damaged, even if it has not failed).",Consult a healthcare professional for accurate precautions.,"['severe upper abdominal pain', 'nausea', 'vomiting', 'fever', 'rapid pulse', 'swollen and tender abdomen', 'jaundice']","acute pancreatitis severe upper abdominal pain, nausea, vomiting, fever, rapid pulse, swollen and tender abdomen, jaundice acute pancreatitis (ap) is a sudden inflammation of the pancreas. causes include a gallstone impacted in the common bile duct or the pancreatic duct, heavy alcohol use, systemic disease, trauma, elevated calcium levels, hypertriglyceridemia (with triglycerides usually being very elevated, over 1000 mg/dl), certain medications, hereditary causes and, in children, mumps. acute pancreatitis may be a single event, it may be recurrent, or it may progress to chronic pancreatitis and/or pancreatic failure (the term pancreatic dysfunction includes cases of acute or chronic pancreatitis where the pancreas is measurably damaged, even if it has not failed). consult a healthcare professional for accurate precautions."
Acute Sinusitis,"Facial pain or pressure, nasal congestion, thick nasal discharge, post-nasal drip, cough, headache, fatigue, fever (in some cases)","Sinusitis, also known as rhinosinusitis and commonly known as a sinus infection, is an inflammation of the mucous membranes that line the sinuses resulting in symptoms that may include production of thick nasal mucus, nasal congestion, facial congestion, facial pain, facial pressure, loss of smell, or fever. Sinusitis is a condition that affects both children and adults. It is caused by a combination of environmental factors and a person's health factors.",Consult a healthcare professional for accurate precautions.,"['facial pain or pressure', 'nasal congestion', 'thick nasal discharge', 'post-nasal drip', 'cough', 'headache', 'fatigue', 'fever (in some cases)']","acute sinusitis facial pain or pressure, nasal congestion, thick nasal discharge, post-nasal drip, cough, headache, fatigue, fever (in some cases) sinusitis, also known as rhinosinusitis and commonly known as a sinus infection, is an inflammation of the mucous membranes that line the sinuses resulting in symptoms that may include production of thick nasal mucus, nasal congestion, facial congestion, facial pain, facial pressure, loss of smell, or fever. sinusitis is a condition that affects both children and adults. it is caused by a combination of environmental factors and a person s health factors. consult a healthcare professional for accurate precautions."
Adenoid cystic carcinoma,"Lump, swelling, Facial numbness, tingling","Adenoid cystic carcinoma is a rare type of cancer that can exist in many different body sites. This tumor most often occurs in the salivary glands, but it can also be found in many anatomic sites, including the breast, lacrimal gland, lung, brain, Bartholin gland, trachea, and the paranasal sinuses. It is the third-most common malignant salivary gland tumor overall (after mucoepidermoid carcinoma and polymorphous adenocarcinoma).","Primary treatment for this cancer, regardless of body site, is surgical removal with clean margins. This surgery can prove challenging in the head and neck region due to this tumor's tendency to show a perineural discontinuous growth, meaning that it follows nerves and different ""nests"" of the tumor can exist without a connection to the original tumor. Therefore, MRI-images should be analysed following nerve tracts up to the brainstem. Adjuvant or palliative radiotherapy is commonly given following surgery. For advanced major and minor salivary gland tumors that are inoperable, recurrent, or exhibit gross residual disease after surgery, fast neutron therapy is widely regarded as the most effective form of treatment. Chemotherapy is used for metastatic disease. Chemotherapy is considered on a case-by-case basis, as data on the positive effects of chemotherapy are limited. Clinical studies are ongoing, however.","['lump', 'swelling', 'facial numbness', 'tingling']","adenoid cystic carcinoma lump, swelling, facial numbness, tingling adenoid cystic carcinoma is a rare type of cancer that can exist in many different body sites. this tumor most often occurs in the salivary glands, but it can also be found in many anatomic sites, including the breast, lacrimal gland, lung, brain, bartholin gland, trachea, and the paranasal sinuses. it is the third-most common malignant salivary gland tumor overall (after mucoepidermoid carcinoma and polymorphous adenocarcinoma). primary treatment for this cancer, regardless of body site, is surgical removal with clean margins. this surgery can prove challenging in the head and neck region due to this tumor s tendency to show a perineural discontinuous growth, meaning that it follows nerves and different nests of the tumor can exist without a connection to the original tumor. therefore, mri-images should be analysed following nerve tracts up to the brainstem. adjuvant or palliative radiotherapy is commonly given following surgery. for advanced major and minor salivary gland tumors that are inoperable, recurrent, or exhibit gross residual disease after surgery, fast neutron therapy is widely regarded as the most effective form of treatment. chemotherapy is used for metastatic disease. chemotherapy is considered on a case-by-case basis, as data on the positive effects of chemotherapy are limited. clinical studies are ongoing, however."
Adenomyosis,"Severe menstrual pain, heavy bleeding, enlargement of the uterus","Severe menstrual pain, heavy bleeding, enlargement of the uterus. Endometrial tissue grows into the uterine muscle.","Adenomyosis can only be cured definitively with surgical removal of the uterus. As adenomyosis is responsive to reproductive hormones, it reasonably abates following menopause when these hormones decrease. For women in their reproductive years, adenomyosis can typically be managed with the goals to provide pain relief, to restrict progression of the process, and to reduce significant menstrual bleeding.","['severe menstrual pain', 'heavy bleeding', 'enlargement of the uterus']","adenomyosis severe menstrual pain, heavy bleeding, enlargement of the uterus severe menstrual pain, heavy bleeding, enlargement of the uterus. endometrial tissue grows into the uterine muscle. adenomyosis can only be cured definitively with surgical removal of the uterus. as adenomyosis is responsive to reproductive hormones, it reasonably abates following menopause when these hormones decrease. for women in their reproductive years, adenomyosis can typically be managed with the goals to provide pain relief, to restrict progression of the process, and to reduce significant menstrual bleeding."
